"Dibutyltennväteborat	'75113-37-0	'401-040-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter		
"Extraktionsåterstoder (kol), stenkolstjära och pyrolysåterstodsoljor, naftalenolja, omdestillat	'91995-66-3	'295-329-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extraktionsoljor (kol), stenkolstjärepyrolysåterstodsoljor, naftalenolja, omdestillat	'122070-79-5	'310-170-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extraktionsoljor (kol), stenkolstjärepyrolysåterstodsoljor, naftalenolja, destillationsåterstoder	'122070-80-8	'310-171-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Absorptionsoljor, fraktionen bicykliska aromatiska och heterocykliska kolväten	'101316-45-4	'309-851-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (stenkolstjära), övre, fluorenrika	'84989-11-7	'284-900-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Kreosotolja, acenaftenfraktion, acenaftenfri	'90640-85-0	'292-606-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (stenkolstjära), tunga oljor	'90640-86-1	'292-607-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 PBT/vPvB					
"Destillat (stenkolstjära), övre	'65996-91-0	'266-026-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Antracenolja, syraextrakt	'91995-14-1	'295-274-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (stenkolstjära)	'65996-92-1	'266-027-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (stenkolstjära), beck-, tunga oljor	'91995-51-6	'295-312-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (stenkolstjära), beck-	'101316-49-8	'309-855-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (stenkolstjära), tunga oljor, pyrenfraktion	'91995-42-5	'295-304-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 PBT/vPvB					
"Destillat (stenkolstjära), beck-, pyrenfraktion	'91995-52-7	'295-313-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 PBT/vPvB					
"Paraffinvaxer (kol), högtemperaturbrunkolstjära, kolbehandlade	'97926-76-6	'308-296-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Paraffinvaxer (kol), högtemperaturbrunkolstjära, lerbehandlade	'97926-77-7	'308-297-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Beck	'61789-60-4	'263-072-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Beck, koltjäre-, högtemperaturs-	'65996-93-2	'266-028-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 CMR (kategori 1A och 1B), Reproduktionsstörande	 PBT/vPvB	 Miljöfarligt, långtidseffekter		
"Beck, koltjäre-, högtemperaturs-, värmebehandlat	'121575-60-8	'310-162-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Beck, koltjäre-, högtemperaturs-, sekundärt	'94114-13-3	'302-650-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Återstoder (stenkolstjära), beckdestillations-	'92061-94-4	'295-507-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 PBT/vPvB					
"Stenkolstjära, högtemperaturs-, destillations- och lagringsåterstoder	'92062-20-9	'295-535-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Stenkolstjära, högtemperaturs-, lagringsåterstoder	'91082-50-7	'293-764-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Stenkolstjära, högtemperaturs-, återstoder	'100684-51-3	'309-726-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Stenkolstjära, högtemperaturs-, hög halt av fasta ämnen	'68990-61-4	'273-615-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Avfall, fast, förkoksning av koltjärebeck	'92062-34-5	'295-549-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Extraktionsåterstoder (brunkol)	'91697-23-3	'294-285-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Paraffinvaxer (kol), brunkolshögtemperaturtjära	'92045-71-1	'295-454-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Paraffinvaxer (kol), brunkolshögtemperaturtjära, vätebehandlade	'92045-72-2	'295-455-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Paraffinvaxer (kol), brunkolshögtemperaturtjära, kiselsyrabehandlade	'97926-78-8	'308-298-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Tjära, stenkols-, lågtemperatur-, destillationsåterstoder	'101316-85-2	'309-887-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Beck, koltjära, lågtemperaturs-	'90669-57-1	'292-651-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Beck, koltjära, lågtemperaturs-, oxiderat	'90669-59-3	'292-654-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Beck, koltjära, lågtemperaturs-, värmebehandlat	'90669-58-2	'292-653-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (kol och petroleum), aromatiska, kondenserade	'68188-48-7	'269-159-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Aromatiska kolväten, C20-28, polycykliska, pyrolysprodukt av blandat koltjärebeck, polyeten och polypropylen	'101794-74-5	'309-956-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Aromatiska kolväten, C20-28, polycykliska, pyrolysprodukt av blandat koltjärebeck och polyeten	'101794-75-6	'309-957-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Aromatiska kolväten, C20-28, polycykliska, pyrolysprodukt av blandat koltjärebeck och polystyren	'101794-76-7	'309-958-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Beck, koltjäre- och petroleum-	'68187-57-5	'269-109-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Fenantren, destillationsåterstoder	'122070-78-4	'310-169-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (stenkolstjära), övre, fluorenfri	'84989-10-6	'284-899-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Antracenolja	'90640-80-5	'292-602-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 PBT/vPvB					
"Återstoder (stenkolstjära), kreosotoljedestillation	'92061-93-3	'295-506-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Tjära, stenkols-	'8007-45-2	'232-361-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Tjära, stenkols-, högtemperaturs-	'65996-89-6	'266-024-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Tjära, stenkols-, lågtemperaturs-	'65996-90-9	'266-025-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (kol), koksugnslättolja, naftalenfraktion	'85029-51-2	'285-076-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (stenkolstjära), naftalenoljor	'84650-04-4	'283-484-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (stenkolstjära), naftalenoljor, med lågt naftaleninnehåll	'84989-09-3	'284-898-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (stenkolstjära), moderlut från naftalenoljekristallisation	'91995-49-2	'295-310-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extraktionsåterstoder (kol), naftalenolja, alkaliska	'121620-47-1	'310-166-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extraktionsåterstoder (kol), naftalenolja, alkaliska, med lågt innehåll av naftalen	'121620-48-2	'310-167-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (stenkolstjära), naftalenoljor, naftalenfria, alkaliska extrakt	'90640-90-7	'292-612-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extraktionsåterstoder (kol), naftalenolja, alkaliska, destillationstoppfraktioner	'90641-04-6	'292-627-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (stenkolstjära), naftalenoljor, metylnaftalenfraktion	'101896-27-9	'309-985-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (stenkolstjära), naftalenoljor, indol-metylnaftalenfraktion	'101794-91-6	'309-972-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (stenkolstjära), naftalenoljor, sura extrakt	'91995-48-1	'295-309-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extraktionsåterstoder (kol), naftalenolja, alkaliska, destillationsåterstoder	'90641-05-7	'292-628-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extraktionsoljor (kol), sura, tjärbasfria	'84989-12-8	'284-901-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (stenkolstjära), benzenfraktion, destillationsåterstoder	'121620-46-0	'310-165-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kreosotolja, acenaftenfraktion	'90640-84-9	'292-605-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Kreosotolja	'61789-28-4	'263-047-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Kreosotolja, högkokande destillat	'70321-79-8	'274-565-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Kreosot	'8001-58-9	'232-287-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Extraktionsåterstoder (kol), kreosotolja, sura	'122384-77-4	'310-189-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Antracenolja, antracenpasta	'90640-81-6	'292-603-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 PBT/vPvB				
"Antracenolja, med lågt innehåll av antracen	'90640-82-7	'292-604-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 PBT/vPvB				
"Återstoder (stenkolstjära), antracenoljedestillations-	'92061-92-2	'295-505-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Antracenolja, antracenpasta, antracenfraktion	'91995-15-2	'295-275-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 PBT/vPvB				
"Antracenolja, antracenpasta, karbazolfraktion	'91995-16-3	'295-276-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Antracenolja, antracenpasta, lätt destillationsfraktion	'91995-17-4	'295-278-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 PBT/vPvB				
"Tjäroljor, kol-, lågtemperatur-	'101316-87-4	'309-889-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extraktionsåterstoder (kol), lågtemperaturstenkolstjära alkaliska	'122384-78-5	'310-191-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Fenoler, ammoniaklutsextrakt	'84988-93-2	'284-881-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (stenkolstjära), lättoljor, alkaliska extrakt	'90640-88-3	'292-610-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extrakt, stenkolstjärolja, alkaliska	'65996-83-0	'266-017-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (stenkolstjära), naftalenoljor, alkaliska extrakt	'90640-89-4	'292-611-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extraktionsåterstoder (kol), tjärolja alkaliska, karbonatiserade, kalkade	'90641-06-8	'292-629-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, kol, råa	'65996-85-2	'266-019-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, brunkol, råa	'101316-86-3	'309-888-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, brunkolsförgasnings-	'92062-22-1	'295-536-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, destillationsåterstoder	'96690-55-0	'306-251-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, metylfenolfraktion	'84989-04-8	'284-892-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, polyalkylfenolfraktion	'84989-05-9	'284-893-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, xylenolfraktion	'84989-06-0	'284-895-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, etylfenolfraktion	'84989-03-7	'284-891-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, 3,5-xylenolfraktion	'84989-07-1	'284-896-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, återstoder, destillat, första fraktion	'68477-23-6	'270-713-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, kresyliska, återstoder	'68555-24-8	'271-418-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Fenoler, C9-11	'91079-47-9	'293-435-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, kresyliska	'92062-26-5	'295-540-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärsyror, brunkols-, C2-alkylfenolfraktion	'94114-29-1	'302-662-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extraktionsoljor (kol), naftenoljor	'90641-00-2	'292-623-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärbaser, kinolinderivat	'68513-87-1	'271-020-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärbaser, kol-, kinolinderivatfraktion	'70321-67-4	'274-560-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärbaser, kol-, destillationsåterstoder	'92062-29-8	'295-544-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväteoljor, aromatiska, blandade med polyeten och polypropen, pyroliserade, lätt oljefraktion	'100801-63-6	'309-745-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväteoljor, aromatiska, blandade med polyeten, pyrolyserade, lätt oljefraktion	'100801-65-8	'309-748-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kolväteoljor, aromatiska, blandade med polystyren, pyrolyserade, lätt oljefraktion	'100801-66-9	'309-749-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extraktionsåterstoder (kol), tjärolja alkaliska, naftalendestillationsåterstoder	'73665-18-6	'277-567-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Kreosotolja, lågkokande destillat	'70321-80-1	'274-566-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Tjärsyror, kresyliska, natriumsalter, frätande lösningar	'68815-21-4	'272-361-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Extraktionsoljor (kol), tjärbas	'65996-86-3	'266-020-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Tjärbaser, stenkols-, råa	'65996-84-1	'266-018-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Återstoder (kol), extraktion med flytande lösningsmedel	'94114-46-2	'302-681-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Kolvätskor, lösning från extraktion med flytande lösningsmedel	'94114-47-3	'302-682-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Kolvätskor, extraktion med flytande lösningsmedel	'94114-48-4	'302-683-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Tjära, brunkols-	'101316-83-0	'309-885-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Tjära, brunkols-, lågtemperatur	'101316-84-1	'309-886-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Lättolja (kol), koksugns-	'65996-78-3	'266-012-5	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (kol), extraktion med flytande lösningsmedel, primära	'94114-52-0	'302-688-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (kol), extraktion med flytande lösningsmedel, hydrokrackade	'94114-53-1	'302-689-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Nafta (kol), extraktion med flytande lösningsmedel, hydrokrackad	'94114-54-2	'302-690-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Bensin, kol, lösningsmedelsextraktion, hydrokrackad nafta	'94114-55-3	'302-691-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (kol), lösningsmedelsextraktion, hydrokrackat, mellanfraktion	'94114-56-4	'302-692-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Destillat (kol), lösningsmedelsextraktion, hydrokrackat, hydrerat, mellanfraktion	'94114-57-5	'302-693-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Lättolja (kol), halvförkoksningssprocess	'90641-11-5	'292-635-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena					
"Petroleum, lösningsmedelsextrakt av lätt nafteniskt destillat	'64742-03-6	'265-102-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Petroleum, lösningsmedelsextrakt av tungt paraffiniskt destillat	'64742-04-7	'265-103-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Petroleum, lösningsmedelsextrakt av lätt paraffiniskt destillat	'64742-05-8	'265-104-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Petroleum, lösningsmedelsextrakt av tungt nafteniskt destillat	'64742-11-6	'265-111-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Petroleum, lösningsmedelsextrakt av lätt vakumgasoljedestillat	'91995-78-7	'295-341-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Kolväten, C26-55, aromatrika	'97722-04-8	'307-753-7	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Återstoder (petroleum), atmosfäriskt torn	'64741-45-3	'265-045-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Gasoljor (petroleum), tunga vakuum-	'64741-57-7	'265-058-3	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (petroleum), tunga katalytiskt krackade	'64741-61-3	'265-063-0	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Oljor (petroleum), klarade, katalytiskt krackade	'64741-62-4	'265-064-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Återstoder (petroleum), hydrokrackade	'64741-75-9	'265-076-1	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Återstoder (petroleum), termiskt krackade	'64741-80-6	'265-081-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Destillat (petroleum), tunga termiskt krackade	'64741-81-7	'265-082-4	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Gasoljor (petroleum), vätebehandlade vakuum-	'64742-59-2	'265-162-9	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Återstoder (petroleum), väteavsvavlade, atmosfäriskt torn	'64742-78-5	'265-181-2	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Gasoljor (petroleum), väteavsvavlade, tunga vakuum-	'64742-86-5	'265-189-6	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
"Återstoder (petroleum), ångkrackade	'64742-90-1	'265-193-8	Utfasningsämne (OBS! Gäller ej alltid)	CMR (kategori 1A och 1B), Cancerframkallande"						
